Date,ICCO daily price (US$/tonne),TAVG,TMIN,TMAX,PRCP
2018-12-05,2079.48,85.2,74,93.5,0
2018-12-04,2136.4500000000003,82.75,74.75,90.85714285714286,0
2018-12-03,2149.8900000000003,82.625,72.83333333333333,91,0
2018-11-30,2154.66,85.75,74.25904761904762,90.28571428571429,0
2018-11-29,2132.11,84.125,73.5,92.42857142857143,0.02
2018-11-28,2096.9500000000003,78.625,74.42857142857143,90.85714285714286,0.06999999999999999
2018-11-27,2109.65,82.28571428571429,74.16666666666667,91.14285714285714,0.08
2018-11-26,2089.8100000000004,83.125,75.2,90.625,0.59
2018-11-23,2095.57,82.375,76,91.25,0
2018-11-22,2115.51,82.625,75,90,0
2018-11-21,2116.3500000000004,82,74,89.8,0.23666666666666664
2018-11-20,2151.74,78,72.33333333333333,90.5515873015873,0.21499999999999997
2018-11-19,2171.3700000000003,81.625,74.4,90.16666666666667,0
2018-11-16,2192.96,83.11111111111111,74.375,91.11111111111111,0
2018-11-15,2169.3900000000003,82.28571428571429,75,91.15555555555555,0.31666666666666665
2018-11-14,2157.9300000000003,82.875,76.66666666666667,90.99111111111111,0.215
2018-11-13,2190.27,82.75,74.25,93,0.08
2018-11-12,2186.52,83.66666666666667,73.6147619047619,90.44444444444444,0
2018-11-09,2227.3900000000003,81,73.75,90.4,0.295
2018-11-08,2255.7799999999997,83.5,72.39365079365079,90.33333333333333,0
2018-11-07,2337.36,78.875,71.71428571428571,89.8,0.5
2018-11-06,2323.68,82.375,71.66666666666667,90.28571428571429,0.8933333333333334
2018-11-05,2283.3700000000003,82,74.61666666666666,90,0
2018-11-02,2257.52,82,73.8,85.33333333333333,0.67
2018-11-01,2254.9100000000003,82,77,87.88095238095238,0
2018-10-31,2221.55,81.16666666666667,74.83333333333333,88.00396825396825,0
2018-10-30,2211.8900000000003,79.375,72.83333333333333,88.00396825396825,0.09285714285714285
2018-10-29,2189.82,78.77777777777777,72.2,85.33333333333333,0.27125
2018-10-26,2235.9500000000003,82.375,74.33333333333333,90.42857142857143,0
2018-10-25,2196.53,80,72.28571428571429,88.25,0.15833333333333333
2018-10-24,2140.59,80.375,73.42857142857143,90.17190476190476,0.38200000000000006
2018-10-23,2182.88,85,73.73333333333333,90,0
2018-10-22,2202.12,82.28571428571429,75.5,90.00047619047619,0.14
2018-10-19,2156.9900000000002,78.25,73.5,90.66666666666667,0.275
2018-10-18,2135.3300000000004,80.375,74.5,89.14285714285714,0.19625
2018-10-17,2195.86,81.125,71.5,89.14285714285714,0.8916666666666666
2018-10-16,2172.55,78.4,74.33333333333333,87.88541666666667,0.01
2018-10-15,2130.64,80.25,74.75,87.875,0.35333333333333333
2018-10-12,2154.34,80.5,74,87.2,1.24
2018-10-11,2105.8300000000004,80.4,73.90654761904761,87.26190476190476,0
2018-10-10,2099.3100000000004,79.71428571428571,73.85714285714286,87.83333333333333,0.3616666666666667
2018-10-09,2125.06,79.875,72.625,88.5,0.05333333333333334
2018-10-08,2090.62,78.875,72.4,84.5,0.8266666666666667
2018-10-05,2047.21,80.125,75.85714285714286,87.57142857142857,0.14333333333333334
2018-10-04,2019.85,79.28571428571429,73.33333333333333,87,0.3
2018-10-03,2014.8,79.22222222222223,74.85714285714286,88,0.02
2018-10-02,2068.75,79.25,73.14285714285714,86.57857142857142,0.10666666666666667
2018-10-01,1988.1399999999999,79.28571428571429,73.95,85.57142857142857,0
2018-09-28,2046.49,77.5,72.66666666666667,85.5,0.6183333333333333
2018-09-27,2098.36,77.85714285714286,75,85.57142857142857,0.0125
2018-09-26,2133.48,81,73.92460317460318,87.28690476190476,0
2018-09-25,2159.15,79.625,74.33333333333333,87.75,0.05750000000000001
2018-09-24,2196.11,78.66666666666667,73.28571428571429,87,0.2357142857142857
2018-09-21,2141.84,80,74.28571428571429,87.875,0.094
2018-09-20,2173.9700000000003,79.85714285714286,74.5,88.14285714285714,0.0125
2018-09-19,2160.4900000000002,80,72.08730158730158,87.5,0
2018-09-18,2202.32,80.66666666666667,72.23214285714286,88,0
2018-09-17,2192.2799999999997,81,72.78571428571429,86.35714285714286,0
2018-09-14,2176.9700000000003,77.28571428571429,71.83333333333333,88,0.6125
2018-09-13,2249.46,79.125,72.42857142857143,86.42857142857143,0.07333333333333333
2018-09-12,2257.54,79,72.66666666666667,84.17023809523809,1.3975
