Month,Mid.Rate,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,Cocoa_Trend,logprice,Price_NY,log_return_rate,Is_Holiday,YEAR,MONTH_NUM
2010-07-01,1.431309677419355,24.09967741935484,28.138709677419353,20.90774193548387,3.189032258064516,15.390322580645162,35.0,8.018169713644154,3036.3712903225805,0.014768998091060867,0,2010,7
2010-08-01,1.4338193548387097,24.609032258064516,28.789354838709677,21.373870967741937,3.5403225806451615,14.366129032258065,28.0,7.9762026452672465,2913.3222580645165,-0.10598332871203728,0,2010,8
2010-09-01,1.4332433333333334,24.715666666666667,28.579666666666665,21.714,5.071333333333333,15.169666666666666,25.0,7.92663835565993,2770.738,0.022480875387647356,0,2010,9
2010-10-01,1.4305709677419356,24.933225806451613,28.559032258064516,22.032258064516128,8.244516129032258,16.648387096774194,22.0,7.950217795915912,2836.6022580645163,0.007704009363962377,1,2010,10
2010-11-01,1.4333433333333334,25.208000000000002,29.270333333333333,21.787333333333333,3.728333333333333,16.575,24.0,7.947089902995151,2827.7166666666667,0.010909516008725952,1,2010,11
2010-12-01,1.444990322580645,25.26451612903226,30.098064516129032,21.04806451612903,1.1693548387096775,17.984193548387097,22.0,8.003030742330767,2990.83935483871,0.0909884585037307,1,2010,12
2011-01-01,1.4636064516129033,25.20225806451613,31.581612903225807,19.90290322580645,0.44225806451612903,17.307096774193546,29.0,8.034358300741093,3089.1503225806455,0.08979911488117748,0,2011,1
2011-02-01,1.5104321428571428,26.895,33.01464285714285,22.206071428571427,3.37,18.332857142857144,31.0,8.133398857247622,3408.1603571428573,0.09259734661236148,0,2011,2
2011-03-01,1.5140387096774195,26.383225806451613,30.907096774193548,22.909032258064514,4.088709677419355,19.78483870967742,31.0,8.108311396076703,3327.72064516129,-0.18422808157807613,0,2011,3
2011-04-01,1.5179533333333335,26.029999999999998,30.095000000000002,22.753,6.071666666666667,19.37,30.0,8.038301987867415,3098.6896666666667,0.09665779924170328,1,2011,4
2011-05-01,1.5070483870967741,25.76225806451613,29.388709677419353,22.813548387096777,4.091612903225807,17.399032258064516,23.0,8.021607518848546,3047.9464516129033,-0.1028182677178821,0,2011,5
2011-06-01,1.5064199999999999,25.087,28.729,22.179,6.787999999999999,15.356,23.0,8.002271408757233,2988.4796666666666,0.0658470934804565,0,2011,6
2011-07-01,1.508006451612903,24.07903225806452,27.74516129032258,21.11032258064516,9.046774193548387,14.121612903225806,23.0,8.05167883476664,3139.8825806451614,-0.054045082966363525,0,2011,7
2011-08-01,1.5102,24.065483870967743,28.094516129032257,20.798387096774192,2.336129032258065,13.740645161290322,23.0,8.011527851400368,3016.527419354839,0.049826517617113375,0,2011,8
2011-09-01,1.52225,24.764,28.601,21.60666666666667,6.614333333333334,14.593666666666667,20.0,7.954248417022651,2851.3563333333336,-0.1611739893121112,0,2011,9
2011-10-01,1.5473,24.904838709677417,28.656451612903226,21.89290322580645,6.356451612903226,17.071290322580648,21.0,7.889029722729285,2668.3967741935485,0.027380660461807222,1,2011,10
2011-11-01,1.5605366666666667,25.240000000000002,29.900333333333332,21.238666666666667,1.8760000000000001,17.804333333333332,23.0,7.833213914844775,2526.1553333333336,-0.11948581811529785,1,2011,11
2011-12-01,1.5802548387096775,24.88967741935484,31.12258064516129,19.541612903225804,0.3732258064516129,17.712903225806453,23.0,7.688146037090209,2183.2148387096777,-0.07746302252845146,1,2011,12
2012-01-01,1.6097483870967741,25.969677419354838,33.842580645161284,19.770967741935483,0.5180645161290323,18.10967741935484,23.0,7.726060006032222,2270.2361290322583,0.08713045501251121,0,2012,1
2012-02-01,1.6704620689655172,26.930689655172415,33.37724137931035,21.88413793103448,2.836206896551724,16.583793103448276,24.0,7.7514192004185745,2326.344482758621,0.043650024419814935,0,2012,2
